    737.64559661     812.81146305      58.27651874
    999.40014677     415.88967918     982.33481216
    862.73261200     406.08076398     922.25952815
    215.27170353     875.75491233     563.94657891
    857.83801640     838.56354646     847.26958808
    835.28215058     587.10478600     880.99216292
    918.89575725     589.50934819     853.66498253
    470.13822034     309.75867683     544.08881326
    718.32425507     142.16629841     443.34815324
    464.18398454     787.30796920     285.05612131
    297.35133112     688.47217909     299.40817147
    151.91388556     153.13781805     499.44356387
    741.01846560     938.23093173     683.54168240
    968.40398757     757.98472332     609.54221227
     10.17826656      28.48848702     751.05061324
    623.91220248      92.38716312     965.81911899
    457.28707754     285.03826786     651.12747329
    126.84838107     147.97788307     648.61431702
    932.86420029     502.77979788     400.05463939
    737.52540664     365.30957248     388.97745516
    222.82626770     838.07175366     613.06917743
    398.90204854     543.83312610     583.82218172
    220.06305317     203.35038901     883.61509465
    547.36138394       2.61676405     907.65670729
    853.39632437     599.73469498     768.52288040
    986.27946106     394.64738285     564.05084886
    979.95334583     817.36701066     709.98801231
    216.67466695     372.65145703     451.27291207
    187.47398266     796.48264348     638.16793432
    703.80516430     989.03882596     523.08042744
     32.02372977      59.96684314     134.63682315
    260.82607278     561.25501802     114.41371362
    352.41142211     634.08972213     412.65588832
    947.00985586     488.67659154      64.28067529
    346.72985521     871.69482180     764.12340988
    471.63785131     447.90036438     145.95980018
    144.04199745     770.42147600     315.91848625
    614.88665762     622.14979698     769.71210389
    267.04744588     913.85110231     244.94342378
     75.88342069     861.42420203     964.43838392
    234.98827277     588.70967645     861.93390138
    442.99768444      66.26824665     443.53204008
    740.44713226      41.08117290     841.08669257
    412.74403753     841.27060084     213.47709383
    775.54793180     204.41273144     880.26964938
    153.03828248     473.74707250     641.99834999
    574.87007024       0.10714121     951.28487793
    462.08243187      56.95347491       5.42711234
    229.47620565     219.43238574     101.89507068
    673.46175372     449.24479604     329.37722063
    266.42290189     564.77726510     734.88602821
    217.05274154     396.55088326     487.34824382
    666.83758454     880.86213632     830.69491751
    234.24051108     550.45295625      95.47649561
    462.83577451     649.92506227     539.28332754
    845.81321564     800.72234469     899.05471862
    443.68490830     694.95448642     507.51495152
    302.20352453     875.22656418     858.69235911
    123.93644039     582.71523499     736.73219268
    257.96238252     796.02170121     999.75359626
    803.79021857     865.55298598     435.41933710
    909.51593030     211.49453857     573.76299127
    665.44436834     664.33293776     563.70152839
    375.23434887     234.59422692     950.24964677
    806.58828924     236.85861483     389.68776231
    187.38559456     146.36157879     489.47860044
